Tower ID,Tower Name,New Tower OA Date (NewTower Activated),Lat,Long,Cluster,Qty SP Seeding per BTS,PM,SPV,Kabupaten
SUM-AC-JTH-0013,-,2026-05-04,5.5161,95.3073,NS-NAD,50 Pcs,AYUB HARIYONO,DOLLY AULIA,Kab. Aceh Besar
SUM-AC-KTN-0008,KMP_RAJA_BABUSSALAM,2026-02-25,3.5206,97.8013,NS-NAD,50 Pcs,AYUB HARIYONO,SUHEYMI,Kab. Aceh Tenggara
SUM-RI-PRP-0001,BANDAR_JAYA,2026-02-21,1.274530556,100.3772806,NS-Riau,50 Pcs,AHMAD JAZULI,SYAHRU RAMADHAN ARIFIN HARAHAP,Kab. Rokan Hulu
SUM-AC-KTN-0017,UJUNG_BARU,2025-11-13,3.5437,97.7655,NS-NAD,50 Pcs,AYUB HARIYONO,SUHEYMI,Kab. Aceh Tenggara
SUM-SU-BNJ-0001,-,2026-04-30,3.6444,98.5001,NS-Medan Dairi,50 Pcs,JEFRIE,RISKY PRAYUDA,Kota Binjai
SUM-AC-KTN-0018,BAMBEL_TENGGARA,2025-12-26,3.4701,97.8596,NS-NAD,50 Pcs,AYUB HARIYONO,SUHEYMI,Kab. Aceh Tenggara
SUM-RI-PRP-0069,PASIR_UTAMA_HILIR,2026-02-26,0.949388889,100.3014694,NS-Riau,50 Pcs,AHMAD JAZULI,SYAHRU RAMADHAN ARIFIN HARAHAP,Kab. Rokan Hulu
SUM-RI-PRP-0065,SUKAMAJU_TAMBUSAI,2026-04-30,1.080630556,100.3742111,NS-Riau,50 Pcs,AHMAD JAZULI,SYAHRU RAMADHAN ARIFIN HARAHAP,Kab. Rokan Hulu
SUM-SU-GNT-0016,-,2026-04-11,1.5004,99.6215,NS-Siantar Sidempuan,50 Pcs,PAUL TULUS HUTAGALUNG,Vacant,Kab. Padang Lawas Utara
SUM-RI-PRP-0022,MAHATO_SAKTI,2026-03-25,1.265030556,100.4055611,NS-Riau,50 Pcs,AHMAD JAZULI,SYAHRU RAMADHAN ARIFIN HARAHAP,Kab. Rokan Hulu
SUM-SU-GNT-0005,BATANG_PANE_II,2025-11-14,1.506,99.8247,NS-Siantar Sidempuan,50 Pcs,PAUL TULUS HUTAGALUNG,Vacant,Kab. Padang Lawas Utara
SUM-AC-LSK-0002,MEURAH_MULIA,2025-12-20,5.0587,97.205,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Aceh Utara
SUM-RI-PRP-0062,DS_SUKA_DAMAI,2026-02-21,1.318019444,100.4569111,NS-Riau,50 Pcs,AHMAD JAZULI,SYAHRU RAMADHAN ARIFIN HARAHAP,Kab. Rokan Hulu
SUM-AC-LSK-0052,HAGU,2025-11-01,5.0129,97.2162,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Aceh Utara
SUM-AC-LSK-0019,SDN_11_SEUNUDDON,2026-01-08,5.1813,97.3916,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Aceh Utara
SUM-AC-SGI-0020,LHOK_IGEUH_TIRO,2026-04-01,5.2031,95.9423,NS-NAD,50 Pcs,AYUB HARIYONO,DOLLY AULIA,Kab. Pidie
SUM-AC-STR-0021,WIH_PESAM,2026-01-29,4.7285,96.8209,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Bener Meriah
SUM-SU-AKK-0028,BONDAR,2025-11-12,2.7769,99.9654,NS-Siantar Sidempuan,50 Pcs,PAUL TULUS HUTAGALUNG,RAMA PRAYOGA,Kab. LabuhanBatu Utara
SUM-AC-LSK-0053,BLANGGUMPANG,2025-11-12,5.1879,97.3684,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Aceh Utara
SUM-AC-LSK-0033,MEURAH,2025-12-25,5.0296,97.1939,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Aceh Utara
SUM-AC-LSK-0041,BUKIT_GELUMPANG,2025-12-22,5.0755,97.1774,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Aceh Utara
SUM-RI-PRP-0032,PASIR_INTAN,2026-04-03,0.95485,100.1912,NS-Riau,50 Pcs,AHMAD JAZULI,SYAHRU RAMADHAN ARIFIN HARAHAP,Kab. Rokan Hulu
SUM-RI-PRP-0024,DESA_SULIGI,2026-02-26,0.5176,100.5242889,NS-Riau,50 Pcs,AHMAD JAZULI,SYAHRU RAMADHAN ARIFIN HARAHAP,Kab. Rokan Hulu
SUM-AC-KTN-0015,PENAMPAAN_BABUSSALAM,2026-04-02,3.5297,97.768,NS-NAD,50 Pcs,AYUB HARIYONO,SUHEYMI,Kab. Aceh Tenggara
SUM-AC-LSK-0045,KUTA_AWE,2025-11-11,5.1506,97.2461,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Aceh Utara
SUM-AC-SKM-0011,NIGAN,2026-01-06,4.2239,96.3243,NS-NAD,50 Pcs,AYUB HARIYONO,SUHEYMI,Kab. Nagan Raya
SUM-AC-LSK-0024,RANTO,2025-11-15,5.0403,97.2279,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Aceh Utara
SUM-SU-SBG-0011,LOBU_TUA_BARUS,2026-04-10,2.1019,98.2961,NS-Siantar Sidempuan,50 Pcs,PAUL TULUS HUTAGALUNG,ADDINA FADILA JAMBAK,Kab. Tapanuli Tengah
SUM-AC-SKM-0022,ALUE_THO_SEUNAGAN,2026-01-26,4.2532,96.3356,NS-NAD,50 Pcs,AYUB HARIYONO,SUHEYMI,Kab. Nagan Raya
SUM-RI-PRP-0052,-,2026-04-22,1.3763,100.33512,NS-Riau,50 Pcs,AHMAD JAZULI,SYAHRU RAMADHAN ARIFIN HARAHAP,Kab. Rokan Hulu
SUM-AC-LSK-0004,MEUNASAH_GEUDONG,2025-11-16,5.1502,97.4401,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Aceh Utara
SUM-AC-KTN-0021,-,2026-03-04,3.5153,97.8189,NS-NAD,50 Pcs,AYUB HARIYONO,SUHEYMI,Kab. Aceh Tenggara
SUM-RI-BKN-0066,RANTAU_BERANGIN,2026-03-28,0.327430556,100.8454306,NS-Riau,50 Pcs,AHMAD JAZULI,SYAHRU RAMADHAN ARIFIN HARAHAP,Kab. Kampar
SUM-AC-BPD-0007,LAPANGAN_BINEH_KRUENG,2026-02-08,3.6514,96.9119,NS-NAD,50 Pcs,AYUB HARIYONO,SUHEYMI,Kab. Aceh Barat Daya
SUM-SU-PYB-0003,SINUNUKAN DUO,2026-02-09,0.5004,99.2184,NS-Siantar Sidempuan,50 Pcs,PAUL TULUS HUTAGALUNG,RAMA PRAYOGA,Kab. Mandailing Natal
SUM-AC-LSK-0058,BAKTYA_BARAT,2026-01-11,5.1641,97.3235,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Aceh Utara
SUM-RI-PKK-0012,ANGKASA_PELALAWAN,2026-01-08,0.13775,102.0885194,NS-Riau,50 Pcs,AHMAD JAZULI,MENILA LAHAGU,Kab. Pelalawan
SUM-SU-SDK-0014,LINGGA_RAJA,2025-11-07,2.845,98.409,NS-Medan Dairi,50 Pcs,JEFRIE,AUDREY AGITA TARIGAN,Kab. Dairi
SUM-AC-LSK-0012,PANTEUBREUH,2025-11-12,5.2183,97.4262,NS-NAD,50 Pcs,AYUB HARIYONO,ISWADI,Kab. Aceh Utara
SUM-SU-SBG-0004,SITIRIS_TIRIS,2026-02-02,2.0183,98.3745,NS-Siantar Sidempuan,50 Pcs,PAUL TULUS HUTAGALUNG,ADDINA FADILA JAMBAK,Kab. Tapanuli Tengah
